"bus_date","venue_code","egm_description","manufacturer","fp","turnover_sum","gmp_sum","games_played_sum"
2024-11-07,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,5040.28,2141.99,3665.00
2024-11-07,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,8862.96,1187.57,5823.00
2024-11-07,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,6122.52,762.76,4317.00
2024-11-07,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,579.00,360.00,143.00
2024-11-07,10203,Black Bear F83 S1359,Ainsworth,5,3172.00,1122.00,736.00
2024-11-07,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,1503.25,179.87,2047.00
2024-11-07,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,2446.40,1017.75,1337.00
2024-11-07,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,927.30,89.69,499.00
2024-11-07,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,1186.01,137.91,763.00
2024-11-07,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,7052.69,1780.37,4337.00
2024-11-08,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,7450.90,-82.20,5055.00
2024-11-08,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,13922.74,655.55,6626.00
2024-11-08,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,10241.68,-1255.93,5851.00
2024-11-08,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,1644.00,56.00,357.00
2024-11-08,10203,Black Bear F83 S1359,Ainsworth,5,3559.00,1392.00,838.00
2024-11-08,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,4704.25,1563.74,1881.00
2024-11-08,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,10949.95,2242.05,3772.00
2024-11-08,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,4664.40,-817.91,2470.00
2024-11-08,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,5438.06,1151.93,3324.00
2024-11-08,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,5065.24,123.62,3877.00
2024-11-09,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,11976.66,-150.59,4994.00
2024-11-09,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,4516.41,1529.16,2746.00
2024-11-09,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,6513.23,1932.87,4809.00
2024-11-09,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,601.00,325.00,200.00
2024-11-09,10203,Black Bear F83 S1359,Ainsworth,5,1955.40,615.40,563.00
2024-11-09,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,2906.75,-423.65,2037.00
2024-11-09,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,7098.20,179.12,4979.00
2024-11-09,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,2192.74,942.21,1509.00
2024-11-09,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,2967.57,548.51,2266.00
2024-11-09,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,3653.88,-200.56,2378.00
2024-11-10,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,3747.79,-1027.14,2389.00
2024-11-10,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,11727.93,-651.84,5198.00
2024-11-10,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,17183.33,2883.98,7295.00
2024-11-10,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,276.00,205.00,76.00
2024-11-10,10203,Black Bear F83 S1359,Ainsworth,5,1651.00,635.00,411.00
2024-11-10,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,2228.00,680.05,1047.00
2024-11-10,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,13356.40,417.57,3669.00
2024-11-10,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,9764.04,1482.88,2817.00
2024-11-10,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,5683.88,199.93,4091.00
2024-11-10,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,1479.78,496.72,664.00
2024-11-11,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,7373.00,1552.70,2909.00
2024-11-11,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,3931.73,622.45,1586.00
2024-11-11,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,24939.95,-2147.70,8355.00
2024-11-11,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,323.00,179.00,67.00
2024-11-11,10203,Black Bear F83 S1359,Ainsworth,5,5084.65,2296.65,1050.00
2024-11-11,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,2754.25,93.16,1191.00
2024-11-11,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,7605.70,1836.00,3105.00
2024-11-11,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,4097.70,670.74,3700.00
2024-11-11,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,1219.35,-908.26,1698.00
2024-11-11,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,790.47,-166.45,561.00
2024-11-12,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,6969.01,1363.45,4566.00
2024-11-12,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,11092.47,173.60,4502.00
2024-11-12,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,4765.01,2080.68,2922.00
2024-11-12,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,719.00,201.00,160.00
2024-11-12,10203,Black Bear F83 S1359,Ainsworth,5,2459.00,205.00,724.00
2024-11-12,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,1451.25,-665.08,1001.00
2024-11-12,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,9056.45,269.68,3714.00
2024-11-12,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,2043.37,370.11,1670.00
2024-11-12,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,1883.80,-632.35,1038.00
2024-11-12,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,921.93,-309.66,592.00
2024-11-13,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,12694.60,75.93,7107.00
2024-11-13,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,9925.68,673.67,6037.00
2024-11-13,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,8193.03,579.28,5768.00
2024-11-13,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,2152.00,341.00,448.00
2024-11-13,10203,Black Bear F83 S1359,Ainsworth,5,4150.00,296.00,1028.00
2024-11-13,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,1970.25,352.10,1544.00
2024-11-13,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,8873.20,74.73,2436.00
2024-11-13,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,6142.71,552.92,2311.00
2024-11-13,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,2472.25,559.50,1046.00
2024-11-13,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,1997.54,673.12,1685.00
2024-11-14,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,9242.12,-5.29,3800.00
2024-11-14,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,19992.16,1544.68,6537.00
2024-11-14,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,10578.74,2700.65,4742.00
2024-11-14,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,1613.00,43.00,501.00
2024-11-14,10203,Black Bear F83 S1359,Ainsworth,5,6016.00,261.00,1286.00
2024-11-14,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,2474.25,1241.06,800.00
2024-11-14,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,3290.40,-335.72,1304.00
2024-11-14,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,5974.91,2159.61,5278.00
2024-11-14,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,3032.53,203.92,1318.00
2024-11-14,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,1085.64,-729.81,380.00
2024-11-15,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,8439.32,1737.74,5542.00
2024-11-15,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,4040.29,794.00,3585.00
2024-11-15,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,10174.14,800.28,8141.00
2024-11-15,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,859.00,62.00,233.00
2024-11-15,10203,Black Bear F83 S1359,Ainsworth,5,3556.00,1198.00,789.00
2024-11-15,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,2000.25,67.18,1311.00
2024-11-15,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,5194.50,2293.37,2041.00
2024-11-15,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,6483.24,410.31,5680.00
2024-11-15,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,855.88,317.00,1251.00
2024-11-15,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,3632.08,438.61,2405.00
2024-11-16,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,8346.07,-695.26,6742.00
2024-11-16,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,5134.22,1305.72,3426.00
2024-11-16,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,10343.92,2103.18,5901.00
2024-11-16,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,6447.00,-2338.00,1376.00
2024-11-16,10203,Black Bear F83 S1359,Ainsworth,5,7208.74,499.74,1536.00
2024-11-16,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,2764.75,91.15,1617.00
2024-11-16,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,2489.30,583.04,1650.00
2024-11-16,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,9246.35,-1662.71,4027.00
2024-11-16,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,2668.89,-437.34,2138.00
2024-11-16,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,1674.68,558.72,1846.00
2024-11-17,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,4460.01,662.15,2777.00
2024-11-17,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,7796.62,-381.50,2240.00
2024-11-17,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,12899.58,649.06,4899.00
2024-11-17,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,1246.00,434.00,332.00
2024-11-17,10203,Black Bear F83 S1359,Ainsworth,5,4496.70,752.70,976.00
2024-11-17,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,1387.25,107.70,683.00
2024-11-17,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,9846.90,343.26,3033.00
2024-11-17,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,1172.92,326.22,868.00
2024-11-17,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,762.12,239.00,829.00
2024-11-17,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,2837.59,912.81,1726.00
2024-11-18,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,5443.82,1555.29,3128.00
2024-11-18,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,5000.87,-1278.19,2716.00
2024-11-18,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,8339.94,1780.74,5753.00
2024-11-18,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,2240.00,-2211.00,556.00
2024-11-18,10203,Black Bear F83 S1359,Ainsworth,5,1878.20,-313.80,467.00
2024-11-18,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,2009.00,-146.24,714.00
2024-11-18,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,5223.45,436.96,1741.00
2024-11-18,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,5547.56,656.01,1337.00
